City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
150,Thunder Bay,CA,48.4,-89.32,69.8,49,90,5.82,overcast clouds,0.0,0.0
151,Ghatampur,IN,26.17,80.17,84.9,68,100,3.42,overcast clouds,0.0,0.0
152,Menongue,AO,-14.66,17.69,52.65,45,0,3.98,clear sky,0.0,0.0
153,Olafsvik,IS,64.89,-23.71,51.62,85,95,4.34,overcast clouds,0.0,0.0
154,Vaitape,PF,-16.52,-151.75,80.58,79,28,11.05,scattered clouds,0.0,0.0
155,Iqaluit,CA,63.75,-68.51,39.2,80,75,4.7,broken clouds,0.0,0.0
156,Lompoc,US,34.64,-120.46,64.99,77,14,9.17,few clouds,0.0,0.0
157,Omboue,GA,-1.57,9.26,74.19,91,98,8.23,overcast clouds,0.0,0.0
158,Weymouth,US,42.22,-70.94,91.99,40,40,11.41,scattered clouds,0.0,0.0
159,Kawalu,ID,-7.38,108.21,71.53,91,68,0.34,broken clouds,0.0,0.0
160,Hinesville,US,31.85,-81.6,89.01,48,40,4.7,scattered clouds,0.0,0.0
161,Talcahuano,CL,-36.72,-73.12,55.4,93,90,13.87,moderate rain,0.0,0.0
162,Sur,OM,22.57,59.53,85.96,66,100,17.45,overcast clouds,0.0,0.0
163,Nikolskoye,RU,59.7,30.79,60.8,59,0,8.95,clear sky,0.0,0.0
164,Vuktyl,RU,63.86,57.31,42.51,94,100,10.09,light rain,0.44,0.44
165,Kerch,UA,45.36,36.48,72.64,74,3,6.49,clear sky,0.0,0.0
166,Canutama,BR,-6.53,-64.38,91.15,44,41,4.21,scattered clouds,0.0,0.0
167,Port Elizabeth,ZA,-33.92,25.57,57.2,93,65,5.82,mist,0.0,0.0
168,Buala,SB,-8.14,159.59,80.51,81,98,5.93,light rain,0.11,0.11
169,Egvekinot,RU,66.32,-179.17,53.1,44,14,1.59,few clouds,0.0,0.0
170,Tevaitoa,PF,-16.78,-151.5,80.17,80,51,12.21,broken clouds,0.0,0.0
171,Komsomolskiy,UZ,40.43,71.72,75.2,36,0,6.93,clear sky,0.0,0.0
172,Machiques,VE,10.06,-72.55,87.35,63,60,2.91,broken clouds,0.0,0.0
173,Muyezerskiy,RU,63.93,31.65,49.48,74,0,4.79,clear sky,0.0,0.0
174,Dukat,RU,62.55,155.55,60.82,48,3,4.45,clear sky,0.0,0.0
175,Zhangjiakou,CN,40.81,114.88,67.86,67,0,1.79,clear sky,0.0,0.0
