City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Luxor,EG,2020-06-19 01:21:57,25.7,32.64,82.4,42,0,2.24
151,Simav,TR,2020-06-19 01:23:22,39.09,28.98,57.18,83,0,2.91
152,Tonantins,BR,2020-06-19 01:23:22,-2.87,-67.8,74.39,93,59,0.51
153,Matara,LK,2020-06-19 01:23:22,5.95,80.54,80.4,87,0,10.42
154,Marystown,CA,2020-06-19 01:23:22,47.17,-55.15,56.88,78,92,16.62
155,Russell,US,2020-06-19 01:23:23,32.35,-85.2,82.4,78,1,3.67
156,Port Elizabeth,ZA,2020-06-19 01:23:23,-33.92,25.57,50.0,71,0,4.7
157,Pisco,PE,2020-06-19 01:23:23,-13.7,-76.22,64.4,82,90,11.41
158,Ancud,CL,2020-06-19 01:23:23,-41.87,-73.82,48.99,93,75,11.41
159,Ballina,AU,2020-06-19 01:23:23,-28.87,153.57,62.6,93,90,6.93
160,Vilhena,BR,2020-06-19 01:23:24,-12.74,-60.15,70.18,76,25,3.96
161,Kaeo,NZ,2020-06-19 01:23:24,-35.1,173.78,57.99,3,60,5.99
162,Hammerfest,NO,2020-06-19 01:23:25,70.66,23.68,41.0,93,75,25.28
163,Pundaguitan,PH,2020-06-19 01:23:25,6.37,126.17,83.17,74,22,4.81
164,Lockhart,US,2020-06-19 01:23:25,28.62,-81.44,78.8,83,40,7.25
165,Kruisfontein,ZA,2020-06-19 01:23:25,-34.0,24.73,55.29,44,0,6.53
166,Dwarka,IN,2020-06-19 01:23:25,22.24,68.97,85.28,79,30,14.52
167,Mocuba,MZ,2020-06-19 01:19:02,-16.84,36.99,61.02,98,56,5.3
168,Lucea,JM,2020-06-19 01:23:26,18.45,-78.17,80.6,88,40,2.24
169,Contai,IN,2020-06-19 01:23:26,21.78,87.75,84.92,75,100,9.75
170,Gladstone,AU,2020-06-19 01:23:26,-23.85,151.25,69.8,68,75,14.99
171,Whitley Bay,GB,2020-06-19 01:23:26,55.04,-1.45,54.0,93,100,4.7
172,Kisangani,CD,2020-06-19 01:23:27,0.52,25.2,69.49,65,100,0.49
173,Fort Nelson,CA,2020-06-19 01:23:27,58.81,-122.7,78.8,36,75,2.24
174,Saldanha,ZA,2020-06-19 01:23:27,-33.01,17.94,62.6,42,0,13.87
175,Kattivakkam,IN,2020-06-19 01:23:27,13.22,80.32,87.8,58,40,6.93
176,Nan,TH,2020-06-19 01:23:28,18.83,100.67,77.0,94,90,6.93
177,Fukue,JP,2020-06-19 01:23:28,32.69,128.84,69.8,100,75,10.29
178,Sechura,PE,2020-06-19 01:23:28,-5.56,-80.82,67.3,74,24,15.43
179,Gizo,SB,2020-06-19 01:23:28,-8.1,156.84,83.53,73,20,1.36
180,Paraiso,CR,2020-06-19 01:23:29,9.84,-83.87,71.6,100,75,3.36
181,Lebu,CL,2020-06-19 01:23:29,-37.62,-73.65,54.45,85,67,12.77
182,Fare,PF,2020-06-19 01:23:29,-16.7,-151.02,81.59,75,61,5.48
183,Ahipara,NZ,2020-06-19 01:23:29,-35.17,173.17,57.4,63,19,12.19
184,Joacaba,BR,2020-06-19 01:19:51,-27.18,-51.5,62.11,86,69,1.07
185,Ribeira Grande,PT,2020-06-19 01:23:30,38.52,-28.7,64.35,90,9,7.67
186,Iqaluit,CA,2020-06-19 01:22:47,63.75,-68.51,39.2,64,75,11.41
187,Itoman,JP,2020-06-19 01:23:30,26.12,127.67,86.0,84,75,20.8
188,Cabedelo,BR,2020-06-19 01:23:30,-6.98,-34.83,73.4,100,90,8.05
189,Aswan,EG,2020-06-19 01:18:32,24.09,32.91,79.66,24,0,12.48
