City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Chaozhou,CN,82.4,overcast clouds,23.67,116.64,Seven Corner View Homestay
382,Erenhot,CN,79.72,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
383,Yanam,IN,81.61,overcast clouds,16.73,82.22,The Regency Hotel
388,Sao Geraldo Do Araguaia,BR,84.18,broken clouds,-6.4,-48.55,Hotel Rio Araguaia
389,Tabuk,PH,74.48,clear sky,17.42,121.44,Grand Zion Garden Resort Hotel
391,Chapais,CA,84.2,clear sky,49.78,-74.85,Hôtel Opémiska
393,Ibra,OM,85.71,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
395,Ouargaye,BF,88.5,scattered clouds,11.5,0.06,Auberge Belle Etoile
398,Sao Miguel Do Araguaia,BR,85.71,scattered clouds,-13.28,-50.16,Hotel Executivo Palace
401,Sistranda,NO,77.0,broken clouds,63.73,8.83,Hotell Frøya
403,Luanda,AO,75.2,scattered clouds,-8.84,13.23,EPIC SANA Luanda
405,Ankpa,NG,75.76,broken clouds,7.37,7.63,AA Suites
408,Merauke,ID,76.93,clear sky,-8.47,140.33,
411,Ternate,ID,80.73,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
414,Ribeira Brava,PT,71.6,scattered clouds,32.65,-17.07,Hotel do Campo
420,Waddan,LY,84.24,clear sky,29.16,16.14,محل الشريف محمد العايب
424,Yumen,CN,74.12,overcast clouds,40.28,97.2,
426,Thaton,MM,77.54,overcast clouds,16.92,97.37,Blue Cloud
427,Arawa,PG,77.11,broken clouds,-6.21,155.54,Coastline Guest House
429,Biak,ID,77.09,overcast clouds,-0.91,122.88,Kost Ariz
430,Nago,JP,82.4,few clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
431,Monrovia,LR,82.4,few clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
433,Kalach-Na-Donu,RU,82.0,overcast clouds,48.69,43.53,НОЧЛЕГ Калач на Дону
435,Sao Filipe,CV,75.6,clear sky,14.9,-24.5,Tortuga B&B
439,Herran,CO,87.8,scattered clouds,7.51,-72.48,
440,Wahiawa,US,80.6,overcast clouds,21.5,-158.02,Aloha Wahiawa
441,Fort Wellington,GY,82.72,few clouds,6.4,-57.6,TE'AMO Entertainment Park
446,Matagami,CA,77.0,overcast clouds,49.75,-77.63,Hôtel Matagami
448,Shuangyang,CN,73.4,few clouds,43.52,125.67,Boutique Chatelet
458,Westport,US,84.99,clear sky,41.14,-73.36,The Westport Inn
462,Bambous Virieux,MU,72.0,few clouds,-20.34,57.76,Casa Tia Villa
465,Kalasin,TH,80.29,broken clouds,16.5,103.5,บริษัท บลูเทล จำกัด
471,Sorong,ID,77.72,overcast clouds,-0.88,131.25,The Waigo Hotel
472,Barinas,VE,75.99,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
473,Bandarbeyla,SO,80.6,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
475,Arvika,SE,77.0,overcast clouds,59.66,12.59,Clarion Collection Hotel Bristol
477,Olhao,PT,84.2,clear sky,37.03,-7.84,Real Marina Hotel & Spa
478,Gevrai,IN,81.27,overcast clouds,19.27,75.75,Jaybhaye
480,Miranda,CO,86.0,broken clouds,3.25,-76.23,Parqueadero toño lasso
485,Jawhar,SO,76.37,clear sky,2.78,45.5,Ceelbaraf high school
486,Naze,JP,78.8,light rain,28.37,129.48,奄美ポートタワーホテル
487,Mae Hong Son,TH,72.93,broken clouds,19.3,97.97,Baiyoke Chalet Hotel
493,Cockburn Town,TC,82.98,broken clouds,21.46,-71.14,Osprey Beach Hotel
495,Sao Joao Da Barra,BR,80.6,clear sky,-21.64,-41.05,Pousada Porto De Canoas
501,Matara,LK,80.96,overcast clouds,5.95,80.54,Amaloh Boutique Resort
504,Kharan,PK,86.94,clear sky,28.58,65.42,Ghani Hasrat House
505,Carutapera,BR,82.06,clear sky,-1.2,-46.02,Lidera
506,Pervomayskoye,RU,70.61,overcast clouds,43.92,46.71,
507,Jatiroto,ID,71.71,scattered clouds,-7.88,111.12,Mushola Al Huda
511,Mongagua,BR,80.6,clear sky,-24.09,-46.62,Hostel Aloha Brasil
514,Avera,US,89.6,broken clouds,33.19,-82.53,
515,Bahce,TR,73.4,scattered clouds,37.2,36.58,Bahçe Park Otel Osmaniye
517,Ranau,MY,78.01,few clouds,5.95,116.66,Ranau Backpackers Hostel
518,Livramento,BR,87.8,scattered clouds,-3.03,-60.18,ArteNamata
519,Grand Gaube,MU,72.0,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
522,Ibarra,EC,73.4,scattered clouds,0.35,-78.12,Hostería La Estelita
523,Bardiyah,LY,83.26,clear sky,31.76,25.09,بورتو بردية
527,Hay River,CA,82.4,few clouds,60.82,-115.8,Ptarmigan Inn Hotels
528,Mugla,TR,75.2,clear sky,37.23,28.36,Petek Hotel
529,Sola,VU,79.7,broken clouds,-13.88,167.55,Leumerus Bungalows
530,Tiarei,PF,82.4,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
